ParName   Value   Gradient
MGparm[13]      0.02782 -1.33852e-005
SR_parm[1]      9.14828 6.14954e-005
recdev_early(1932)   -0.0408113  2.5403e-005
recdev_early(1933)   -0.0425621 1.91599e-005
recdev_early(1934)   -0.0431204 -9.63116e-006
recdev_early(1935)   -0.0418118 2.07588e-005
recdev_early(1936)   -0.0381409 -9.10661e-006
recdev_early(1937)   -0.0327198 1.52334e-007
recdev_early(1938)   -0.0273393 3.19116e-005
recdev_early(1939)   -0.0246267 8.42086e-006
recdev_early(1940)   -0.0247852 5.76184e-006
recdev_early(1941)   -0.0294311 -2.0316e-005
recdev_early(1942)   -0.0366357 3.53102e-007
recdev_early(1943)   -0.0412356 1.81783e-005
recdev_early(1944)   -0.0386299 3.28988e-006
recdev_early(1945)   -0.0203227  9.8524e-006
recdev_early(1946)    0.0182181 5.96617e-006
recdev_early(1947)    0.0817731 -7.63837e-006
recdev_early(1948)     0.167416 -1.51727e-005
recdev_early(1949)     0.257712 1.10487e-006
recdev_early(1950)      0.34084 3.45501e-005
recdev_early(1951)     0.448119 1.56123e-005
recdev1(1952)     0.561655 9.03243e-009
recdev1(1953)     0.506611  0.000107251
recdev1(1954)     0.326124 2.33504e-005
recdev1(1955)     0.166416  2.9032e-005
recdev1(1956)    0.0468394 1.36863e-005
recdev1(1957)   -0.0585701  2.3809e-006
recdev1(1958)    -0.175373 3.81253e-006
recdev1(1959)    -0.208102 -1.14487e-005
recdev1(1960)    0.0167327 -2.59688e-005
recdev1(1961)     0.540812 -6.77849e-005
recdev1(1962)     0.371425  -0.00015874
recdev1(1963)   -0.0458004 -2.96849e-005
recdev1(1964)    -0.167927 -6.28408e-005
recdev1(1965)    -0.255018 -4.1905e-005
recdev1(1966)    -0.474273 -1.38068e-005
recdev1(1967)     -0.51665 -3.30998e-006
recdev1(1968)    -0.269664 1.53733e-005
recdev1(1969)     0.293171 1.52606e-005
recdev1(1970)     0.881143 4.09109e-005
recdev1(1971)     0.126135 4.31521e-005
recdev1(1972)    -0.493439 2.43292e-005
recdev1(1973)      -0.7583 1.24397e-005
recdev1(1974)    -0.504782  1.4756e-005
recdev1(1975)    -0.264981 -5.29466e-006
recdev1(1976)    -0.452079 -1.48226e-005
recdev1(1977)    -0.215814 -2.03901e-006
recdev1(1978)    -0.119475 5.20345e-006
recdev1(1979)    0.0623206 -1.94941e-005
recdev1(1980)    -0.121945 -1.84398e-005
recdev1(1981)     0.649164 -1.3224e-005
recdev1(1982)    -0.251397 -2.24015e-005
recdev1(1983)    -0.121634 -7.0322e-006
recdev1(1984)     0.279622 -2.28326e-005
recdev1(1985)     0.382422 -2.8386e-005
recdev1(1986)    -0.503184 -1.0105e-005
recdev1(1987)    0.0634584 3.87412e-006
recdev1(1988)     0.221502 6.92672e-005
recdev1(1989)     0.439976 6.19078e-005
recdev1(1990)     0.316763 6.63463e-005
recdev1(1991)     0.466808 3.02735e-005
recdev1(1992)    -0.969343 -8.21549e-006
recdev1(1993)    -0.349951 -1.76388e-005
recdev1(1994)     0.576545 -2.21344e-005
recdev1(1995)     0.224608 -1.68656e-005
recdev1(1996)    -0.504529 -2.08778e-005
recdev1(1997)    -0.459609 1.58022e-007
recdev1(1998)    0.0839781 -1.53486e-006
recdev1(1999)       1.0362 6.15835e-006
recdev1(2000)      1.11614 2.49946e-005
recdev1(2001)     0.288118 8.36113e-006
recdev1(2002)    -0.171035  4.2028e-006
recdev1(2003)     -1.09608 4.24353e-005
recdev1(2004)     0.172834 -9.11855e-007
recdev1(2005)    -0.228134 -1.16776e-005
recdev1(2006)    -0.746252 6.98497e-006
recdev1(2007)    -0.905218  2.0996e-005
recdev1(2008)      1.19104 7.43701e-006
Fcast_recruitments(2009)    -0.278014 1.75003e-005
Fcast_recruitments(2010)            0            0
Fcast_recruitments(2011)            0            0
Fcast_recruitments(2012)            0            0
Fcast_recruitments(2013)            0            0
Fcast_recruitments(2014)            0            0
Fcast_recruitments(2015)            0            0
Fcast_recruitments(2016)            0            0
Fcast_recruitments(2017)            0            0
Fcast_recruitments(2018)            0            0
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
selparm[1]      36.6038 -0.000186508
selparm[3]      3.25607  0.000141838
selparm[4]     0.644017 -4.39468e-006
selparm[5]     -2.73373  2.6122e-005
selparm[6]     0.992649 -5.41424e-005
selparm[7]      30.9369 -2.92444e-005
selparm[8]       1.8759 8.22602e-006
selparm[9]     0.681074 1.41245e-005
selparm[11]      22.9975 -6.0596e-007
selparm[12]      9.30356 1.40633e-006
selparm[13]      20.3316 -8.82687e-006
selparm[14]      5.42419 -4.25396e-006
selparm[15]      25.7828 -1.28517e-005
selparm[16]      17.2431 1.53786e-005
selparm[19]     0.963912 -1.87862e-006
selparm[20]     0.905783 -4.84349e-006
selparm[21]     0.497115 -6.3444e-006
