ParName   Value   Gradient
MGparm[13]    0.0274158 -4.36906e-005
SR_parm[1]      9.16686  0.000402671
recdev_early(1880)  -0.00439796 2.36443e-006
recdev_early(1881)  -0.00458775 2.40769e-006
recdev_early(1882)  -0.00478327 2.45029e-006
recdev_early(1883)  -0.00498187 2.49216e-006
recdev_early(1884)  -0.00517716 2.53261e-006
recdev_early(1885)  -0.00536509 2.57067e-006
recdev_early(1886)  -0.00554516 2.60552e-006
recdev_early(1887)  -0.00572111 2.63691e-006
recdev_early(1888)  -0.00589736 2.66501e-006
recdev_early(1889)  -0.00607971 2.69058e-006
recdev_early(1890)  -0.00626839 2.71373e-006
recdev_early(1891)  -0.00646366 2.73468e-006
recdev_early(1892)  -0.00666417 2.71539e-006
recdev_early(1893)  -0.00687293 2.72806e-006
recdev_early(1894)  -0.00708896 2.74008e-006
recdev_early(1895)  -0.00731255 2.75229e-006
recdev_early(1896)  -0.00754399 2.76587e-006
recdev_early(1897)  -0.00778362 2.78212e-006
recdev_early(1898)  -0.00803177 2.80212e-006
recdev_early(1899)  -0.00828877 2.82702e-006
recdev_early(1900)  -0.00855492 2.85805e-006
recdev_early(1901)  -0.00883052 2.89648e-006
recdev_early(1902)  -0.00911582 2.94373e-006
recdev_early(1903)  -0.00941103 3.00105e-006
recdev_early(1904)  -0.00971637 3.06988e-006
recdev_early(1905)   -0.0100321 3.15174e-006
recdev_early(1906)   -0.0103584 3.24766e-006
recdev_early(1907)   -0.0106959 3.35866e-006
recdev_early(1908)   -0.0110452 3.48525e-006
recdev_early(1909)   -0.0114071 3.62783e-006
recdev_early(1910)   -0.0117828 3.78686e-006
recdev_early(1911)   -0.0121739 3.96284e-006
recdev_early(1912)   -0.0125826 4.15637e-006
recdev_early(1913)   -0.0130119 4.36732e-006
recdev_early(1914)   -0.0134638 4.59426e-006
recdev_early(1915)   -0.0139395 4.83417e-006
recdev_early(1916)   -0.0144401 5.08262e-006
recdev_early(1917)   -0.0149658 5.33321e-006
recdev_early(1918)    -0.015512  5.5783e-006
recdev_early(1919)   -0.0160815 5.81133e-006
recdev_early(1920)   -0.0166754 6.02464e-006
recdev_early(1921)   -0.0173031 6.21256e-006
recdev_early(1922)   -0.0179834 6.36666e-006
recdev_early(1923)    -0.018731 6.47093e-006
recdev_early(1924)    -0.019569 6.51214e-006
recdev_early(1925)   -0.0205205 6.47491e-006
recdev_early(1926)    -0.021612 6.36416e-006
recdev_early(1927)   -0.0228449 6.20626e-006
recdev_early(1928)   -0.0244046 6.03744e-006
recdev_early(1929)   -0.0260495  6.0087e-006
recdev_early(1930)   -0.0278908 6.25482e-006
recdev_early(1931)   -0.0301481 7.01069e-006
recdev_early(1932)   -0.0319053 7.91536e-006
recdev_early(1933)   -0.0334097 8.62127e-006
recdev_early(1934)    -0.033942 8.48935e-006
recdev_early(1935)   -0.0328231 7.59229e-006
recdev_early(1936)   -0.0295343 6.76269e-006
recdev_early(1937)   -0.0245267 6.47844e-006
recdev_early(1938)   -0.0195154 6.25241e-006
recdev_early(1939)   -0.0172802 6.01504e-006
recdev_early(1940)   -0.0183158 6.09398e-006
recdev_early(1941)    -0.024299 6.26222e-006
recdev_early(1942)   -0.0330698 7.45153e-006
recdev_early(1943)    -0.039309 1.19128e-005
recdev_early(1944)   -0.0382955  1.0264e-005
recdev_early(1945)   -0.0215039 1.23222e-005
recdev_early(1946)    0.0150355  7.9695e-006
recdev_early(1947)    0.0748189 1.34862e-005
recdev_early(1948)     0.154345 1.06799e-005
recdev_early(1949)     0.235796 1.07195e-005
recdev_early(1950)     0.310057 1.20087e-005
recdev_early(1951)     0.410166 1.14643e-005
recdev1(1952)     0.516061 1.80516e-005
recdev1(1953)     0.466812 1.58201e-005
recdev1(1954)     0.294676 1.46646e-005
recdev1(1955)     0.137856 3.96368e-006
recdev1(1956)    0.0188275 4.35238e-006
recdev1(1957)   -0.0864921 9.22205e-006
recdev1(1958)    -0.203189 1.30284e-006
recdev1(1959)    -0.237337 4.52467e-006
recdev1(1960)   -0.0163384  8.6511e-006
recdev1(1961)     0.491823 1.00209e-005
recdev1(1962)     0.321328 3.15864e-006
recdev1(1963)   -0.0949507 3.09683e-006
recdev1(1964)    -0.220912 4.18617e-006
recdev1(1965)    -0.310479 1.45931e-006
recdev1(1966)    -0.526654 -6.64494e-007
recdev1(1967)    -0.558271 -7.04831e-008
recdev1(1968)    -0.299095 -1.59072e-006
recdev1(1969)     0.263086 4.66366e-006
recdev1(1970)     0.878225 8.30805e-007
recdev1(1971)     0.143183 -7.99605e-007
recdev1(1972)     -0.47046 -1.1015e-007
recdev1(1973)    -0.717629 -3.94962e-006
recdev1(1974)    -0.449409 8.12399e-007
recdev1(1975)    -0.201788 -1.57849e-006
recdev1(1976)    -0.388847 1.42907e-006
recdev1(1977)    -0.148001 -2.06874e-006
recdev1(1978)   -0.0659518 1.54137e-006
recdev1(1979)     0.118143 -1.77967e-006
recdev1(1980)   -0.0814403 -3.00027e-007
recdev1(1981)     0.682621  2.0126e-006
recdev1(1982)    -0.230753 -2.20261e-007
recdev1(1983)   -0.0982942 1.54895e-006
recdev1(1984)     0.302998 -3.23154e-006
recdev1(1985)     0.403106 1.58152e-006
recdev1(1986)    -0.487813 -1.30191e-005
recdev1(1987)    0.0791734 -2.27467e-007
recdev1(1988)     0.233171 -8.04618e-006
recdev1(1989)     0.450134 -9.23348e-006
recdev1(1990)     0.323527 -8.50003e-006
recdev1(1991)     0.469682 -8.92416e-006
recdev1(1992)    -0.969539 -1.77539e-006
recdev1(1993)    -0.350524 -4.82576e-006
recdev1(1994)     0.571481 -6.09983e-006
recdev1(1995)     0.219002 -5.21158e-006
recdev1(1996)    -0.508583 1.80092e-007
recdev1(1997)    -0.464427 -5.20916e-006
recdev1(1998)    0.0809228 -3.44756e-006
recdev1(1999)      1.03513 -4.87132e-006
recdev1(2000)      1.11592 -4.8986e-006
recdev1(2001)     0.287182 -2.52224e-006
recdev1(2002)    -0.174883 -2.5502e-006
recdev1(2003)     -1.10168 -4.67252e-007
recdev1(2004)     0.161038 -1.6475e-006
recdev1(2005)    -0.242967 -2.26167e-006
