xx,Year,Catch,Spawning Output,Depletion (%),Spawning Output,Depletion (%),Spawning Output,Depletion (%)
,2019,5981,5533,86,7559,105,9565,114
,2020,5827,5486,86,7541,104,9564,114
,2021,5639,5414,84,7488,104,9517,114
ABC,2022,5439,5307,83,7388,102,9411,112
,2023,5238,5177,81,7253,100,9263,111
,2024,5042,5032,79,7098,98,9089,109
,2025,4857,4881,76,6932,96,8902,106
,2026,4688,4726,74,6760,94,8706,104
,2027,4533,4572,71,6586,91,8508,102
,2028,4391,4419,69,6413,89,8310,99
,2019,2556,5533,86,7559,105,9565,114
,2020,2556,5640,88,7694,106,9716,116
,2021,2556,5721,89,7792,108,9819,117
SPR50,2022,2556,5762,90,7835,108,9854,118
,2023,2556,5770,90,7834,108,9837,117
,2024,2556,5755,90,7802,108,9782,117
,2025,2556,5721,89,7747,107,9701,116
,2026,2556,5673,88,7673,106,9599,115
,2027,2556,5613,88,7585,105,9482,113
,2028,2556,5545,87,7487,104,9354,112
