xx,Year,Catch,Spawning Output,Depletion (%),Spawning Output,Depletion (%),Spawning Output,Depletion (%)
,2019,5981,4214,69,7559,105,41065,130
,2020,5827,4141,67,7541,104,41501,131
,2021,5639,4047,66,7488,104,41736,132
ABC,2022,5439,3927,64,7388,102,41699,132
,2023,5238,3789,62,7253,100,41471,131
,2024,5042,3643,59,7098,98,41125,130
,2025,4857,3493,57,6932,96,40699,129
,2026,4688,3342,54,6760,94,40219,127
,2027,4533,3192,52,6586,91,39706,125
,2028,4391,3045,50,6413,89,39174,124
,2019,2556,4214,69,7559,105,41065,130
,2020,2556,4295,70,7694,106,41651,132
,2021,2556,4356,71,7792,108,42032,133
SPR50,2022,2556,4387,71,7835,108,42130,133
,2023,2556,4393,72,7834,108,42024,133
,2024,2556,4381,71,7802,108,41786,132
,2025,2556,4354,71,7747,107,41455,131
,2026,2556,4316,70,7673,106,41057,130
,2027,2556,4270,70,7585,105,40611,128
,2028,2556,4216,69,7487,104,40136,127
