"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60"
"1918",5886.55,5573.13,5278.71,4999.88,4735.81,4485.72,4248.87,4024.55,3812.05,3610.75,3420.06,3239.44,3068.37,2906.34,2752.89,2607.55,2469.9,2339.54,2216.07,2090.71,1980.81,1876.68,1778.03,1684.56,1596.01,1512.11,1432.62,1357.31,1285.96,1218.36,1154.31,1093.63,1036.14,981.675,930.07,881.178,834.857,790.97,749.39,709.996,672.673,637.312,603.81,572.069,541.997,513.505,486.511,460.936,436.706,413.749,391.999,371.393,351.869,333.372,315.848,299.244,283.514,268.61,254.49,241.112,4345.56
"1919",5888.54,5577.11,5280.16,5001.22,4737.04,4486.85,4249.91,4025.5,3812.96,3611.63,3420.9,3240.24,3069.12,2907.04,2753.53,2608.15,2470.45,2340.04,2216.53,2099.56,1980.79,1876.66,1778.01,1684.55,1595.99,1512.1,1432.61,1357.3,1285.95,1218.35,1154.3,1093.62,1036.13,981.666,930.062,881.171,834.85,790.963,749.384,709.99,672.668,637.307,603.805,572.064,541.992,513.501,486.507,460.932,436.702,413.746,391.996,371.39,351.866,333.37,315.845,299.242,283.511,268.608,254.487,241.11,4345.52
"1920",5890.6,5579,5283.93,5002.6,4738.31,4488.02,4250.99,4026.49,3813.88,3612.51,3421.76,3241.06,3069.89,2907.77,2754.21,2608.78,2471.03,2340.58,2217.02,2100.01,1989.18,1876.66,1778.01,1684.54,1595.99,1512.09,1432.6,1357.29,1285.94,1218.34,1154.3,1093.62,1036.13,981.663,930.059,881.168,834.847,790.961,749.382,709.988,672.666,637.305,603.803,572.063,541.99,513.499,486.506,460.931,436.701,413.744,391.995,371.388,351.865,333.368,315.844,299.241,283.51,268.607,254.487,241.109,4345.51
"1921",5892.68,5580.95,5285.72,5006.16,4739.62,4489.23,4252.1,4027.52,3814.82,3613.39,3422.6,3241.87,3070.67,2908.5,2754.9,2609.42,2471.63,2341.13,2217.53,2100.47,1989.61,1884.61,1778,1684.54,1595.98,1512.09,1432.6,1357.29,1285.94,1218.34,1154.3,1093.62,1036.13,981.661,930.057,881.166,834.845,790.959,749.38,709.986,672.664,637.303,603.802,572.061,541.989,513.498,486.504,460.93,436.7,413.743,391.994,371.387,351.864,333.368,315.843,299.24,283.51,268.606,254.486,241.108,4345.5
"1922",5894.78,5582.92,5287.57,5007.86,4743,4490.47,4253.24,4028.57,3815.79,3614.28,3423.43,3242.67,3071.44,2909.24,2755.6,2610.08,2472.24,2341.7,2218.06,2100.96,1990.05,1885.01,1785.54,1684.53,1595.98,1512.08,1432.6,1357.29,1285.94,1218.34,1154.29,1093.61,1036.13,981.658,930.055,881.164,834.843,790.957,749.378,709.985,672.662,637.302,603.8,572.06,541.988,513.497,486.503,460.929,436.699,413.742,391.993,371.387,351.864,333.367,315.842,299.239,283.509,268.605,254.485,241.108,4345.49
"1923",5896.87,5584.9,5289.43,5009.61,4744.61,4493.67,4254.41,4029.65,3816.79,3615.2,3424.28,3243.46,3072.2,2909.98,2756.31,2610.74,2472.87,2342.28,2218.6,2101.45,1990.51,1885.44,1785.92,1691.67,1595.98,1512.08,1432.59,1357.28,1285.94,1218.34,1154.29,1093.61,1036.12,981.657,930.053,881.162,834.842,790.956,749.377,709.984,672.661,637.301,603.799,572.059,541.987,513.496,486.502,460.928,436.698,413.742,391.992,371.386,351.863,333.366,315.842,299.239,283.508,268.605,254.485,241.107,4345.48
"1924",5898.95,5586.89,5291.32,5011.38,4746.27,4495.19,4257.45,4030.76,3817.82,3616.14,3425.15,3244.26,3072.95,2910.7,2757,2611.41,2473.49,2342.87,2219.15,2101.96,1990.98,1885.87,1786.32,1692.04,1602.74,1512.08,1432.59,1357.28,1285.93,1218.33,1154.29,1093.61,1036.12,981.655,930.051,881.161,834.84,790.954,749.375,709.982,672.66,637.3,603.798,572.058,541.986,513.495,486.502,460.927,436.697,413.741,391.991,371.385,351.862,333.366,315.841,299.238,283.508,268.605,254.485,241.107,4345.47
"1925",5900.99,5588.85,5293.2,5013.16,4747.94,4496.76,4258.89,4033.63,3818.86,3617.11,3426.03,3245.08,3073.7,2911.4,2757.67,2612.06,2474.12,2343.46,2219.7,2102.48,1991.46,1886.31,1786.73,1692.41,1603.08,1518.48,1432.58,1357.28,1285.93,1218.33,1154.28,1093.61,1036.12,981.651,930.048,881.157,834.837,790.951,749.372,709.98,672.657,637.297,603.796,572.056,541.984,513.493,486.5,460.925,436.696,413.739,391.99,371.384,351.861,333.364,315.84,299.237,283.507,268.603,254.484,241.106,4345.46
"1926",5902.99,5590.79,5295.06,5014.94,4749.63,4498.35,4260.37,4035,3821.58,3618.09,3426.94,3245.91,3074.47,2912.1,2758.33,2612.69,2474.73,2344.05,2220.26,2103,1991.95,1886.76,1787.14,1692.79,1603.43,1518.8,1438.65,1357.27,1285.92,1218.32,1154.28,1093.6,1036.11,981.646,930.043,881.153,834.832,790.947,749.369,709.976,672.654,637.294,603.793,572.053,541.981,513.49,486.497,460.923,436.693,413.737,391.988,371.382,351.859,333.363,315.839,299.236,283.505,268.602,254.482,241.105,4345.43
"1927",5904.89,5592.68,5296.89,5016.7,4751.32,4499.95,4261.87,4036.4,3822.86,3620.66,3427.87,3246.76,3075.25,2912.82,2758.99,2613.31,2475.33,2344.62,2220.81,2103.52,1992.44,1887.22,1787.57,1693.18,1603.79,1519.13,1438.95,1363.01,1285.91,1218.31,1154.27,1093.59,1036.1,981.638,930.036,881.146,834.826,790.941,749.363,709.97,672.649,637.289,603.788,572.048,541.977,513.486,486.493,460.919,436.69,413.734,391.985,371.379,351.856,333.36,315.836,299.233,283.503,268.6,254.48,241.103,4345.4
"1928",5906.67,5594.48,5298.68,5018.44,4752.98,4501.54,4263.39,4037.82,3824.19,3621.86,3430.28,3247.63,3076.04,2913.55,2759.67,2613.93,2475.9,2345.18,2221.35,2104.04,1992.92,1887.68,1787.99,1693.58,1604.16,1519.47,1439.26,1363.3,1291.35,1218.3,1154.26,1093.58,1036.09,981.628,930.026,881.137,834.817,790.933,749.355,709.963,672.642,637.283,603.782,572.042,541.971,513.481,486.488,460.915,436.685,413.73,391.981,371.375,351.853,333.357,315.833,299.23,283.5,268.597,254.478,241.1,4345.36
"1929",5908.31,5596.17,5300.39,5020.14,4754.63,4503.13,4264.9,4039.25,3825.53,3623.12,3431.43,3249.92,3076.87,2914.31,2760.36,2614.57,2476.49,2345.73,2221.87,2104.55,1993.42,1888.14,1788.43,1693.99,1604.54,1519.82,1439.58,1363.59,1291.62,1223.46,1154.25,1093.57,1036.08,981.619,930.018,881.129,834.81,790.925,749.348,709.957,672.636,637.277,603.776,572.037,541.966,513.476,486.484,460.911,436.681,413.726,391.977,371.372,351.85,333.354,315.83,299.227,283.498,268.595,254.475,241.098,4345.32
"1930",5909.79,5597.72,5301.99,5021.75,4756.24,4504.69,4266.4,4040.69,3826.9,3624.4,3432.63,3251.02,3079.05,2915.1,2761.08,2615.23,2477.1,2346.29,2222.4,2105.06,1993.91,1888.61,1788.87,1694.4,1604.92,1520.18,1439.91,1363.89,1291.9,1223.71,1159.13,1093.56,1036.08,981.612,930.011,881.122,834.803,790.92,749.343,709.951,672.631,637.272,603.772,572.033,541.962,513.473,486.48,460.907,436.678,413.723,391.974,371.369,351.847,333.351,315.828,299.225,283.496,268.593,254.474,241.096,4345.28
