"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60"
"1918",6346.91,6012,5695.14,5395.01,5110.72,4841.44,4586.36,4344.75,4115.87,3899.07,3693.69,3499.14,3314.86,3140.28,2974.92,2818.27,2669.88,2529.32,2396.16,2266.74,2147.59,2034.69,1927.73,1826.4,1730.39,1639.42,1553.24,1471.59,1394.23,1320.94,1251.5,1185.71,1123.38,1064.33,1008.38,955.371,905.149,857.568,812.487,769.776,729.311,690.972,654.65,620.236,587.631,556.741,527.474,499.746,473.475,448.586,425.005,402.663,381.496,361.441,342.441,324.44,307.385,291.226,275.917,261.413,4711.44
"1919",6347.92,6013.27,5695.96,5395.76,5111.4,4842.06,4586.92,4345.26,4116.33,3899.49,3694.07,3499.49,3315.17,3140.57,2975.18,2818.51,2670.1,2529.51,2396.34,2270.18,2147.57,2034.67,1927.72,1826.38,1730.37,1639.41,1553.23,1471.58,1394.22,1320.93,1251.49,1185.7,1123.37,1064.32,1008.37,955.363,905.141,857.56,812.48,769.77,729.304,690.966,654.644,620.23,587.626,556.736,527.47,499.742,473.471,448.582,425.001,402.659,381.492,361.438,342.438,324.437,307.382,291.224,275.915,261.41,4711.4
"1920",6348.99,6014.23,5697.16,5396.54,5112.11,4842.71,4587.52,4345.79,4116.83,3899.94,3694.49,3499.87,3315.52,3140.89,2975.47,2818.77,2670.34,2529.73,2396.53,2270.36,2150.84,2034.67,1927.71,1826.37,1730.37,1639.4,1553.22,1471.57,1394.22,1320.93,1251.49,1185.7,1123.37,1064.32,1008.37,955.36,905.138,857.557,812.477,769.767,729.302,690.964,654.642,620.228,587.624,556.734,527.468,499.74,473.47,448.58,424.999,402.658,381.491,361.437,342.437,324.436,307.381,291.223,275.914,261.409,4711.39
"1921",6350.07,6015.23,5698.07,5397.67,5112.85,4843.38,4588.13,4346.36,4117.34,3900.41,3694.92,3500.27,3315.88,3141.22,2975.77,2819.05,2670.59,2529.95,2396.74,2270.54,2151,2037.76,1927.7,1826.37,1730.36,1639.4,1553.22,1471.57,1394.21,1320.92,1251.48,1185.7,1123.37,1064.31,1008.36,955.357,905.136,857.555,812.475,769.765,729.3,690.962,654.64,620.227,587.623,556.733,527.466,499.739,473.468,448.579,424.998,402.657,381.49,361.436,342.436,324.435,307.38,291.222,275.913,261.409,4711.37
"1922",6351.17,6016.26,5699.02,5398.53,5113.93,4844.08,4588.77,4346.94,4117.87,3900.89,3695.36,3500.68,3316.26,3141.56,2976.08,2819.33,2670.85,2530.19,2396.95,2270.74,2151.18,2037.93,1930.64,1826.36,1730.36,1639.39,1553.22,1471.57,1394.21,1320.92,1251.48,1185.69,1123.36,1064.31,1008.36,955.354,905.134,857.553,812.473,769.763,729.298,690.96,654.638,620.225,587.621,556.731,527.465,499.737,473.467,448.578,424.997,402.656,381.489,361.435,342.435,324.434,307.379,291.221,275.912,261.408,4711.36
"1923",6352.28,6017.3,5699.99,5399.44,5114.74,4845.1,4589.43,4347.55,4118.43,3901.4,3695.83,3501.1,3316.65,3141.92,2976.41,2819.63,2671.12,2530.44,2397.18,2270.95,2151.37,2038.1,1930.79,1829.15,1730.35,1639.39,1553.21,1471.56,1394.21,1320.92,1251.48,1185.69,1123.36,1064.31,1008.36,955.353,905.132,857.551,812.472,769.762,729.297,690.959,654.637,620.224,587.62,556.73,527.464,499.736,473.466,448.577,424.997,402.655,381.489,361.435,342.435,324.434,307.379,291.221,275.912,261.408,4711.35
"1924",6353.39,6018.35,5700.98,5400.36,5115.6,4845.87,4590.4,4348.17,4119,3901.93,3696.31,3501.54,3317.05,3142.29,2976.75,2819.94,2671.41,2530.7,2397.42,2271.16,2151.56,2038.27,1930.95,1829.29,1732.99,1639.39,1553.21,1471.56,1394.2,1320.91,1251.48,1185.69,1123.36,1064.31,1008.36,955.351,905.13,857.55,812.47,769.76,729.295,690.958,654.636,620.223,587.619,556.729,527.463,499.735,473.465,448.576,424.996,402.655,381.488,361.434,342.434,324.433,307.378,291.22,275.911,261.407,4711.34
"1925",6354.52,6019.41,5701.98,5401.29,5116.47,4846.68,4591.13,4349.09,4119.59,3902.46,3696.8,3501.98,3317.46,3142.66,2977.1,2820.26,2671.69,2530.96,2397.66,2271.38,2151.76,2038.45,1931.12,1829.44,1733.12,1641.88,1553.2,1471.55,1394.2,1320.91,1251.47,1185.68,1123.35,1064.3,1008.35,955.347,905.127,857.546,812.467,769.757,729.292,690.955,654.633,620.22,587.617,556.727,527.461,499.733,473.463,448.575,424.994,402.653,381.486,361.432,342.433,324.432,307.377,291.219,275.91,261.406,4711.33
"1926",6355.65,6020.48,5702.98,5402.24,5117.36,4847.51,4591.9,4349.78,4120.45,3903.02,3697.3,3502.45,3317.88,3143.05,2977.44,2820.58,2671.99,2531.24,2397.9,2271.61,2151.97,2038.64,1931.28,1829.59,1733.26,1642.01,1555.56,1471.55,1394.19,1320.9,1251.46,1185.68,1123.35,1064.3,1008.35,955.342,905.122,857.541,812.462,769.753,729.289,690.951,654.63,620.217,587.614,556.724,527.458,499.731,473.461,448.572,424.992,402.651,381.484,361.43,342.431,324.43,307.375,291.217,275.909,261.405,4711.3
"1927",6356.75,6021.55,5703.99,5403.19,5118.25,4848.35,4592.68,4350.5,4121.1,3903.83,3697.82,3502.92,3318.3,3143.44,2977.8,2820.9,2672.29,2531.51,2398.15,2271.83,2152.17,2038.83,1931.46,1829.75,1733.4,1642.13,1555.68,1473.78,1394.18,1320.89,1251.45,1185.67,1123.34,1064.29,1008.34,955.334,905.114,857.534,812.456,769.746,729.283,690.946,654.624,620.212,587.609,556.719,527.454,499.727,473.457,448.568,424.988,402.647,381.481,361.427,342.428,324.427,307.373,291.215,275.906,261.402,4711.26
