"","Base Model","Harmonic Weights","Steepness = 0.40","Old Maturity","Old Fecundity","2008 Recruitment"
"Total Likelihood",1638.71,2470.48,1640.33,1638.71,1638.71,1885.2
"Survey Likelihood",-13.3917,-13.7004,-13.6531,-13.3923,-13.3906,-12.7342
"Discard Likelihood",-33.8313,-16.8995,-33.4906,-33.8333,-33.8329,57.1692
"Length Likelihood",142.621,776.472,141.795,142.62,142.627,193.643
"Age Likelihood",1531.69,1705.14,1532.41,1531.7,1531.69,1642.89
"Recruitment Likelihood",11.4693,19.316,11.3825,11.4718,11.4702,4.07995
"Forecast Recruitment Likelihood",1.21795e-05,0.000265437,2.10807e-05,1.23542e-05,1.21687e-05,1.21795e-05
"Parameter Priors Likelihood",0.125004,0.125004,1.86962,0.125004,0.125004,0.125004
"Parameter Deviation Likelihood",0,0,0,0,0,0
"log(R0)",9.44525,9.32018,9.33814,9.44505,9.44578,9.45032
"SB Virgin",7227.97,6467.27,6482.64,7092.7,8603.8,7322.85
"SB 2017",6966.03,5320.09,3552.64,6969.75,8476.35,5474.61
"Depletion 2017",0.963761,0.822618,0.548023,0.982666,0.985187,0.747606
"Total Yield - SPR 50",2555.78,2279.2,1029.41,2551.43,2584.35,2585.2
"Steepness",0.72,0.72,0.4,0.72,0.72,0.72
"Natural Mortality - Female",0.054,0.054,0.054,0.054,0.054,0.054
"Length at Amin - Female",20.7718,20.6409,20.7688,20.7716,20.7718,20.37
"Length at Amax - Female",41.6366,41.7185,41.622,41.6367,41.6366,41.7299
"Von Bert. k - Female",0.165916,0.169381,0.165812,0.165921,0.165917,0.174717
"SD young - Female",1.34174,1.33563,1.34288,1.34173,1.34172,1.39194
"SD old - Female",2.56502,2.77727,2.56887,2.56504,2.56501,2.51332
"Natural Mortality - Male",0.054,0.054,0.054,0.054,0.054,0.054
"Length at Amin - Male",20.7718,20.6409,20.7688,20.7716,20.7718,20.37
"Length at Amax - Male",38.9289655086838,38.9162256509599,38.9090928875324,38.9290979347469,38.9289966518687,39.0961813384278
"Von Bert. k - Male",0.197156067554781,0.201623604541148,0.197234350157547,0.197160234546968,0.197156467215791,0.204404428118446
"SD young - Male",1.34174,1.33563,1.34288,1.34173,1.34172,1.39194
"SD old - Male",2.33002844547927,2.60029872022496,2.33043609080362,2.33002890491377,2.33002798270612,2.20108096693282
