"","Base Model","Harmonic Weights","Fix Steepness Prior","Estimate M","Old Maturity","Old Fecundity"
"Total Likelihood",1726.16,2432.5,1726.05,1725.66,1726.17,1726.18
"Survey Likelihood",-25.511,-25.8815,-24.9886,-25.6846,-25.5162,-25.492
"Discard Likelihood",-34.2168,-27.174,-34.2799,-34.2949,-34.2218,-34.2184
"Length Likelihood",135.74,748.487,136.049,135.748,135.737,135.747
"Age Likelihood",1636.59,1717.85,1636.26,1636.59,1636.62,1636.58
"Recruitment Likelihood",12.5441,18.1964,12.867,12.3438,12.5403,12.5422
"Forecast Recruitment Likelihood",6.30819e-06,0.000341619,4.18725e-06,7.12941e-06,6.71595e-06,6.33714e-06
"Parameter Priors Likelihood",1.00036,1.00036,0.125004,0.942798,1.00036,1.00036
"Parameter Deviation Likelihood",0,0,0,0,0,0
"log(R0)",9.36441,9.26609,9.41394,9.73768,9.36386,9.3658
"SB Virgin",6633.08,6136.91,6979.48,7885.8,6505.7,7745.48
"SB 2017",5047.16,4199.96,6883.61,7436.66,5070.8,6103.65
"Depletion 2017",0.760907,0.684377,0.986264,0.943044,0.779439,0.788027
"Total Yield",1764.8,1605.33,2482.46,2329.27,1759.53,1788.51
"Steepness",0.5,0.5,0.72,0.5,0.5,0.5
"Natural Mortality - Female",0.054,0.054,0.054,0.0610099,0.054,0.054
"Length at Amin - Female",20.7848,20.8651,20.7884,20.7825,20.7839,20.7848
"Length at Amax - Female",41.5953,41.721,41.607,41.6075,41.5954,41.5954
"Von Bert. k - Female",0.167029,0.165514,0.166985,0.16673,0.167051,0.167029
"SD young - Female",1.34323,1.35346,1.34256,1.3442,1.34319,1.34322
"SD old - Female",2.5618,2.76174,2.55853,2.55996,2.56191,2.56173
"Natural Mortality - Male",0.054,0.054,0.054,0.0626329092028524,0.054,0.054
"Length at Amin - Male",20.7848,20.8651,20.7884,20.7825,20.7839,20.7848
"Length at Amax - Male",38.8998805573747,38.9121094526401,38.9129002783921,38.898852033373,38.8999740772689,38.8999779672665
"Von Bert. k - Male",0.198782139777957,0.19725213497818,0.19866261582036,0.198646475048956,0.198801960335521,0.198781344650988
"SD young - Male",1.34323,1.35346,1.34256,1.3442,1.34319,1.34322
"SD old - Male",2.28713315615915,2.60381015325143,2.287887436137,2.28608245292759,2.28711242942216,2.28713927445264
