Year,WA,OR,CA,Hake,Survey
1940,20,20,20,20,20
1941,20,20,20,20,20
1942,20,20,20,20,20
1943,20,20,20,20,20
1944,20,20,20,20,20
1945,20,20,20,20,20
1946,20,20,20,20,20
1947,20,20,20,20,20
1948,20,20,20,20,20
1949,20,20,20,20,20
1950,20,20,20,20,20
1951,20,20,20,20,20
1952,20,20,20,20,20
1953,20,20,20,20,20
1954,20,20,20,20,20
1955,20,20,20,20,20
1956,20,20,20,20,20
1957,20,20,20,20,20
1958,20,20,20,20,20
1959,20,20,20,20,20
1960,20,20,20,20,20
1961,20,20,20,20,20
1962,20,20,20,20,20
1963,20,20,20,20,20
1964,20,20,20,20,20
1965,20,20,20,20,20
1966,20,20,20,20,20
1967,20,20,20,20,20
1968,20,20,20,20,20
1969,20,20,20,20,20
1970,20,20,20,20,20
1971,20,20,20,20,20
1972,20,20,20,20,20
1973,20,20,20,20,20
1974,20,20,20,20,20
1975,20,20,20,20,20
1976,20,20,20,20,20
1977,20,20,20,20,20
1978,20,20,20,20,20
1979,20,20,20,20,20
1980,20,20,20,20,20
1981,20,20,20,20,20
1982,20,20,20,20,20
1983,20,20,20,20,20
1984,20,20,20,20,20
1985,20,20,20,20,20
1986,20,20,20,20,20
1987,20,20,20,20,20
1988,20,20,20,20,20
1989,20,20,20,20,20
1990,20,20,20,20,20
1991,20,20,20,20,20
1992,20,20,20,20,20
1993,20,20,20,20,20
1994,20,20,20,20,20
1995,20,20,20,20,20
1996,20,20,20,20,20
1997,20,20,20,20,20
1998,20,20,20,20,20
1999,20,20,20,20,20
2000,20,20,20,20,20
2001,20,20,20,20,20
2002,20,20,20,20,20
2003,20,20,20,20,20
2004,20,20,20,20,20
2005,20,20,20,20,20
2006,20,20,20,20,20
2007,20,20,20,20,20
2008,20,20,20,20,20
2009,20,20,20,20,20
2010,20,20,20,20,20
